productId,itemId,vendorItemId,startPage,pages,size
487322,41045,3000080400,1,1,30
1008978,4242032,92843978880,1,1,30
7527803282,264019241,91164580247,1,1,30
8826288636,25720037760,3000141660,1,1,30
8289731246,23467099110,90766226334,1,1,30
1912026433,3461482826,86273585306,1,1,30
86564,175470,3000104081,1,1,30
7958974,93553,3000207618,1,1,30
185307349,25790113038,92777883529,1,1,30
96571,1043420,84993758114,1,1,30
6201953316,,,1,1,30
4697181411,,,1,1,30
14111627,,,1,1,30
1483853018,,,1,1,30
8401714195,,,1,1,30
102505,,,1,1,30
7327767434,,,1,1,30
196473,,,1,1,30
8412642732,,,1,1,30
35267,,,1,1,30
8167319174,,,1,1,30
1956171516,,,1,1,30
7826310148,,,1,1,30
7460637047,,,1,1,30
7778899675,,,1,1,30
7759626199,,,1,1,30
8245789579,,,1,1,30
57628799,,,1,1,30
116372100,,,1,1,30
345617562,,,1,1,30
8439164313,,,1,1,30
4665612599,,,1,1,30
6162108553,,,1,1,30
1258985,,,1,1,30
1275124832,,,1,1,30
7661692303,,,1,1,30
2042132,,,1,1,30
8244031658,,,1,1,30
7677600227,,,1,1,30
8821592139,,,1,1,30
8336308869,,,1,1,30
185917305,,,1,1,30
6930792814,,,1,1,30
7235457880,,,1,1,30
5532336625,,,1,1,30
1254071808,,,1,1,30
4618503633,,,1,1,30
13288248,,,1,1,30
5625704601,,,1,1,30
7714443052,,,1,1,30
8638927908,,,1,1,30
1271064981,,,1,1,30
6408953895,,,1,1,30
8157285927,,,1,1,30
5186098054,,,1,1,30
4498353,,,1,1,30
7679648178,,,1,1,30
7488621084,,,1,1,30
9083988098,,,1,1,30
2233944989,,,1,1,30
2233944921,,,1,1,30
1409982810,,,1,1,30
8411449173,,,1,1,30
3630576,,,1,1,30
8312748844,,,1,1,30
4930762352,,,1,1,30
8804233295,,,1,1,30
6186151261,,,1,1,30
8818890428,,,1,1,30
130180788,,,1,1,30
4697181154,,,1,1,30
1074470755,,,1,1,30
5125712998,,,1,1,30
8286306683,,,1,1,30
8164002768,,,1,1,30
7925691039,,,1,1,30
825878,,,1,1,30
130180913,,,1,1,30
7747262190,,,1,1,30
5760586837,,,1,1,30
4975075206,,,1,1,30
1421686681,,,1,1,30
8527149812,,,1,1,30
7788383542,,,1,1,30
7881160880,,,1,1,30
6673701892,,,1,1,30
5463258026,,,1,1,30
8730212699,,,1,1,30
5071892418,,,1,1,30
35160,,,1,1,30
7709495388,,,1,1,30
6823349264,,,1,1,30
6525861606,,,1,1,30
8243623760,,,1,1,30
7757579141,,,1,1,30
8424867137,,,1,1,30
188563628,,,1,1,30
1232968322,,,1,1,30
4842938988,,,1,1,30
3833856,,,1,1,30
7578281472,,,1,1,30
2345793,,,1,1,30
8586474173,,,1,1,30
6429441553,,,1,1,30
218520566,,,1,1,30
6528172171,,,1,1,30
5587102353,,,1,1,30
1910849030,,,1,1,30
2234215098,,,1,1,30
8830227246,,,1,1,30
6654766761,,,1,1,30
7689270513,,,1,1,30
7075663719,,,1,1,30
83831628,,,1,1,30
7188388903,,,1,1,30
6444836231,,,1,1,30
7312490308,,,1,1,30
4792356798,,,1,1,30
7867851377,,,1,1,30
7290972662,,,1,1,30
7107327625,,,1,1,30
6532199671,,,1,1,30
8275202974,,,1,1,30
6714158527,,,1,1,30
6988712167,,,1,1,30
7279527060,,,1,1,30
1885773320,,,1,1,30
6827493901,,,1,1,30
6590520242,,,1,1,30
7447842898,,,1,1,30
64553251,,,1,1,30
7548941405,,,1,1,30
8134992698,,,1,1,30
8270886198,,,1,1,30
8632405549,,,1,1,30
7158225439,,,1,1,30
